uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
176.442,175.892,43.797,405.174,345.296,287.984,284.634,8.748,0,116.550,-96.550
231.858,478.978,56.788,72.651,220.027,309.237,303.978,10.582,0,115.663,-95.663
287.308,409.436,64.551,45.489,493.567,264.048,256.036,14.150,0,100.254,-80.254
367.358,378.676,49.060,336.886,56.916,326.902,323.199,8.631,0,98.701,-78.701
37.377,220.345,58.177,259.499,111.084,254.285,247.540,13.226,0,107.542,-87.542
11.239,24.426,41.258,138.274,172.089,199.109,194.788,11.959,0,110.599,-90.599
392.592,171.406,43.999,140.948,238.131,264.032,260.340,9.593,0,107.600,-87.600
416.515,346.270,41.727,456.021,3.337,347.713,345.200,6.892,0,102.120,-82.120
349.749,63.136,53.302,120.793,4.315,242.326,236.391,12.707,0,104.757,-84.757
359.672,186.642,59.497,120.616,217.639,248.292,241.058,13.864,0,116.555,-96.555
479.547,182.764,55.929,459.967,480.994,304.059,298.871,10.599,0,101.419,-81.419
180.854,246.027,49.733,450.481,394.616,311.851,307.860,9.177,0,116.214,-96.214
95.923,31.047,49.288,344.556,270.806,348.901,345.402,8.121,0,114.038,-94.038
266.028,251.728,41.753,471.898,3.862,324.905,322.211,7.383,0,113.169,-93.169
334.443,241.735,50.886,229.816,427.410,219.115,213.124,13.429,0,111.460,-91.460
166.636,402.179,51.749,249.950,180.420,242.479,236.893,12.323,0,104.461,-84.461
184.747,135.482,55.113,62.920,320.472,228.255,221.502,13.972,0,106.507,-86.507
233.926,153.764,41.130,154.207,6.478,172.453,167.476,13.798,0,115.593,-95.593
288.502,413.853,40.500,148.294,95.026,350.641,348.294,6.633,0,108.630,-88.630
350.745,62.110,50.763,263.785,325.748,282.212,277.609,10.362,0,106.542,-86.542
208.281,175.172,58.121,345.199,478.164,337.533,332.491,9.915,0,102.208,-82.208
456.536,133.119,46.947,303.840,376.935,291.489,287.684,9.268,0,106.530,-86.530
380.663,82.459,42.289,365.499,412.902,333.482,330.790,7.285,0,114.946,-94.946
363.302,177.798,48.890,63.418,270.465,317.660,313.875,8.853,0,117.584,-97.584
74.274,192.672,45.194,274.034,297.927,230.272,225.793,11.319,0,111.185,-91.185
165.579,471.798,50.058,86.505,199.880,287.572,283.181,10.025,0,113.020,-93.020
333.445,391.188,43.296,125.113,404.887,213.224,208.782,11.716,0,110.138,-90.138
49.815,148.332,40.988,319.041,318.592,321.172,318.545,7.332,0,112.207,-92.207
16.272,121.314,56.967,250.782,331.193,319.827,314.713,10.260,0,116.187,-96.187
100.152,458.013,41.732,419.629,322.038,349.709,347.210,6.854,0,110.079,-90.079
141.520,357.928,52.976,421.154,448.168,298.572,293.835,10.220,0,115.983,-95.983
477.114,29.159,47.344,301.411,67.053,185.874,179.743,14.756,0,105.043,-85.043
31.938,2.386,41.781,330.388,141.253,331.816,329.175,7.234,0,100.960,-80.960
120.654,450.589,41.204,245.030,207.446,276.198,273.107,8.580,0,101.253,-81.253
157.870,64.364,43.372,87.707,215.410,172.101,166.546,14.597,0,103.635,-83.635
328.805,201.877,40.527,479.701,440.594,285.303,282.410,8.166,0,106.461,-86.461
322.096,176.047,44.169,109.660,33.726,259.490,255.704,9.800,0,101.122,-81.122
22.636,399.159,50.804,342.051,258.312,352.767,349.090,8.280,0,106.481,-86.481
320.495,235.045,42.988,481.432,456.805,277.355,274.004,8.916,0,110.028,-90.028
172.312,278.778,44.498,270.750,83.489,223.176,218.695,11.501,0,109.449,-89.449
139.479,396.696,54.627,137.619,274.542,133.825,122.168,24.092,1,82.577,-62.577
18.838,231.329,66.071,39.528,81.494,165.057,151.256,23.597,0,109.487,-89.487
179.276,124.737,52.596,100.028,217.542,132.888,122.037,23.315,0,97.414,-77.414
279.838,124.782,58.851,103.809,219.449,208.355,199.870,16.407,0,108.698,-88.698
313.948,90.043,131.593,12.737,167.139,337.622,310.921,22.940,0,116.796,-96.796
223.909,13.092,51.887,328.997,84.532,137.257,127.071,22.212,0,104.928,-84.928
456.928,338.180,131.395,499.298,52.931,316.902,288.378,24.496,0,120.586,-100.586
155.011,46.198,44.598,3.639,114.277,171.863,165.976,15.040,0,101.960,-81.960
481.870,229.557,65.030,356.809,86.953,200.512,189.673,18.924,0,106.080,-86.080
308.118,295.337,70.139,154.987,171.839,208.855,196.726,19.623,0,107.522,-87.522
260.635,60.517,93.536,43.947,105.179,240.203,221.243,22.917,0,105.293,-85.293
374.878,119.300,49.948,222.412,56.702,172.218,164.816,16.859,0,104.494,-84.494
332.889,265.022,44.381,367.110,383.905,131.430,123.710,19.736,0,103.823,-83.823
322.365,261.879,56.571,210.906,207.418,136.343,124.053,24.514,0,102.560,-82.560
194.475,231.062,91.578,481.876,389.094,340.529,327.984,15.600,0,107.744,-87.744
215.080,224.121,87.095,426.597,289.178,237.818,221.296,21.483,0,104.955,-84.955
330.995,209.885,90.795,293.293,470.105,278.172,262.937,19.050,0,108.505,-88.505
482.999,464.800,76.398,440.839,213.747,265.785,254.568,16.705,0,99.481,-79.481
209.086,327.396,65.648,357.656,281.484,168.791,155.502,22.888,0,105.712,-85.712
