uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
432.414,96.054,51.073,403.986,160.298,86.856,70.254,36.016,0,110.234,-90.234
258.366,89.512,40.831,295.553,72.174,57.885,41.031,44.860,1,75.297,-55.297
182.814,365.744,131.305,72.336,294.393,185.843,131.516,44.954,0,109.785,-89.785
63.017,281.341,50.448,56.437,345.787,82.107,64.781,37.909,0,90.579,-70.579
284.422,200.650,87.477,352.577,295.500,145.925,116.798,36.832,0,102.477,-82.477
458.440,39.028,121.559,354.755,133.263,185.492,140.110,40.945,1,85.413,-65.413
252.858,289.417,51.073,298.550,239.387,84.848,67.755,37.009,0,92.824,-72.824
144.194,122.922,109.096,51.254,207.445,166.385,125.626,40.972,0,109.394,-89.394
169.415,367.673,93.525,232.338,293.286,135.054,97.431,43.828,0,105.499,-85.499
141.723,264.784,80.802,62.430,286.104,115.200,82.110,44.540,0,103.324,-83.324
20.586,199.936,66.767,74.793,142.611,103.356,78.895,40.240,1,80.333,-60.333
246.883,22.740,123.502,105.556,65.710,192.542,147.715,39.898,0,100.794,-80.794
320.788,82.048,52.562,274.285,125.188,82.380,63.432,39.647,0,97.271,-77.271
320.860,437.817,76.231,415.976,401.905,127.074,101.670,36.862,0,95.122,-75.122
422.877,191.377,47.814,485.101,201.089,79.072,62.977,37.206,0,97.842,-77.842
39.734,281.427,76.592,26.751,368.222,116.483,87.760,41.113,1,81.371,-61.371
149.251,428.682,77.442,86.916,365.035,118.042,89.088,41.000,1,81.487,-61.487
91.140,169.139,122.437,124.163,41.232,180.115,132.101,42.826,0,113.767,-93.767
249.826,167.477,48.266,304.129,194.801,77.621,60.790,38.449,0,96.684,-76.684
267.597,284.815,69.337,348.699,243.431,114.446,91.051,37.290,1,81.218,-61.218
43.030,195.745,118.845,151.772,115.769,179.847,134.984,41.362,0,113.931,-93.931
170.343,470.707,111.273,266.728,387.162,169.268,127.554,41.100,0,105.670,-85.670
275.067,473.043,74.701,242.932,375.453,127.031,102.745,36.019,0,100.534,-80.534
133.714,169.811,113.352,258.745,212.201,174.006,132.021,40.649,0,108.318,-88.318
321.812,461.829,138.202,470.910,372.553,222.036,173.782,38.494,0,98.587,-78.587
198.676,365.951,83.660,306.622,338.362,139.329,111.416,36.902,1,82.927,-62.927
407.777,148.217,44.012,380.973,103.232,68.405,52.365,40.047,1,76.748,-56.748
397.620,14.499,105.761,281.451,28.984,157.767,117.069,42.095,1,84.006,-64.006
401.022,20.360,62.756,342.441,84.697,107.281,87.012,35.800,1,80.656,-60.656
213.909,385.743,42.177,237.344,436.239,69.842,55.669,37.149,0,106.517,-86.517
22.501,175.624,93.691,118.031,224.061,142.303,107.108,41.177,0,104.836,-84.836
320.844,137.927,111.214,319.844,4.524,173.683,133.406,39.816,0,98.426,-78.426
99.960,257.429,41.496,148.494,263.536,64.147,48.917,40.307,0,100.826,-80.826
169.271,95.224,66.727,218.426,160.881,105.734,82.019,39.130,0,94.984,-74.984
92.110,103.448,65.011,79.105,23.800,103.632,80.704,38.853,0,105.947,-85.947
208.808,336.692,48.390,270.977,330.134,79.054,62.514,37.742,0,105.571,-85.571
33.854,338.413,86.353,35.389,445.752,137.771,107.350,38.813,0,108.746,-88.746
59.910,422.521,94.803,180.665,397.022,155.626,123.417,37.530,0,97.030,-77.030
217.157,309.058,50.386,162.183,323.580,75.972,56.860,41.546,0,95.796,-75.796
231.928,250.786,120.785,267.886,132.121,173.099,123.993,44.249,0,111.384,-91.384
168.080,483.977,73.888,85.989,478.333,110.590,82.284,41.923,0,104.004,-84.004
131.293,329.750,134.334,6.273,261.418,195.819,142.476,43.315,0,109.174,-89.174
450.222,421.433,131.209,301.630,413.588,198.386,148.799,41.405,0,120.224,-100.224
286.230,142.620,137.293,200.537,26.217,199.355,144.544,43.526,0,112.279,-92.279
374.241,171.391,67.946,337.124,241.310,104.322,79.161,40.641,0,99.143,-79.143
354.803,408.463,132.526,454.054,249.380,229.611,187.505,35.252,1,87.266,-67.266
494.579,143.325,90.091,399.625,199.649,142.496,110.402,39.215,0,96.333,-76.333
234.894,23.491,130.736,341.200,100.266,185.168,131.131,44.914,1,85.397,-65.397
122.123,400.731,131.598,296.239,417.771,218.918,174.948,36.951,1,86.852,-66.852
371.250,292.457,127.945,482.272,360.487,182.549,130.208,44.498,1,85.274,-65.274
151.043,470.902,128.131,270.178,398.742,189.256,139.284,42.612,1,85.587,-65.587
285.786,188.170,120.723,340.974,316.843,184.869,140.009,40.770,0,101.647,-81.647
392.960,399.288,80.614,305.718,330.057,137.487,111.374,35.898,0,94.347,-74.347
226.728,135.529,126.839,88.025,144.364,188.162,138.985,42.384,0,101.044,-81.044
142.342,453.934,112.199,158.953,296.497,194.038,158.311,35.326,0,106.647,-86.647
167.316,341.101,50.260,102.947,322.393,83.782,67.032,36.862,0,91.039,-71.039
47.327,81.253,121.075,206.647,51.247,202.342,162.120,36.753,0,106.510,-86.510
117.491,322.581,99.306,200.484,386.763,144.461,104.915,43.427,0,100.123,-80.123
300.790,422.098,55.292,355.681,432.958,78.665,55.955,44.658,0,100.896,-80.896
347.859,22.407,46.606,290.704,7.268,75.287,59.126,38.247,0,90.056,-70.056
242.282,283.562,119.842,354.998,408.599,206.644,168.343,35.447,0,101.999,-81.999
103.997,299.225,59.068,96.896,223.305,96.454,76.252,37.763,0,100.109,-80.109
282.586,157.687,123.467,312.365,310.410,198.633,155.599,38.432,0,109.129,-89.129
287.691,0.352,48.859,289.202,51.988,71.104,51.658,43.405,1,77.084,-57.084
106.458,281.586,83.517,27.126,347.250,132.591,102.982,39.042,0,103.063,-83.063
233.551,148.531,71.811,223.805,238.656,115.648,90.651,38.385,0,83.888,-63.888
486.287,117.664,58.602,404.940,126.681,100.662,81.845,35.603,1,80.103,-60.103
238.084,88.960,71.105,163.728,49.018,110.364,84.405,40.112,1,80.903,-60.903
435.257,2.901,55.503,359.396,7.110,94.091,75.977,36.149,1,79.517,-59.517
321.774,71.719,108.624,454.293,54.894,172.173,133.583,39.117,1,84.765,-64.765
152.118,256.678,110.957,256.877,186.880,167.802,125.881,41.394,0,103.135,-83.135
143.293,359.825,113.405,28.619,373.578,161.864,115.496,44.477,1,84.229,-64.229
160.576,406.937,108.567,153.040,292.326,158.048,114.858,43.387,0,92.970,-72.970
159.505,55.681,111.238,130.627,189.916,176.711,137.306,39.013,1,84.991,-64.991
455.522,228.289,103.348,392.272,109.633,169.590,134.462,37.546,0,103.711,-83.711
136.705,131.043,50.882,185.018,80.947,86.214,69.598,36.170,1,78.758,-58.758
152.337,394.902,98.549,263.795,391.099,148.827,111.523,41.466,1,83.500,-63.500
420.159,155.380,132.146,284.084,61.645,211.578,165.235,38.651,0,100.671,-80.671
172.390,444.214,61.895,242.902,457.551,94.767,71.762,40.778,1,79.579,-59.579
415.334,52.811,41.790,364.200,30.667,69.652,55.723,36.868,0,91.080,-71.080
429.268,301.495,100.028,330.660,368.122,155.462,119.007,40.048,1,83.878,-63.878
97.875,328.861,66.724,165.705,345.563,96.602,69.856,43.686,1,79.746,-59.746
94.107,480.573,66.954,65.587,412.469,99.672,73.835,42.202,0,96.774,-76.774
243.000,236.770,88.660,211.186,132.329,140.643,109.179,39.079,1,83.008,-63.008
298.740,381.618,42.695,313.797,439.841,73.753,60.139,35.372,1,77.402,-57.402
404.189,213.911,68.806,337.079,145.850,117.772,95.583,35.749,0,104.347,-84.347
242.148,299.342,77.038,175.795,254.820,110.995,79.907,43.953,1,80.952,-60.952
335.978,436.225,79.472,375.337,359.639,117.177,86.108,42.705,1,81.423,-61.423
70.216,76.918,58.794,69.157,14.320,85.886,62.608,43.201,0,98.305,-78.305
298.925,325.357,136.516,456.990,317.933,208.989,158.240,40.785,1,86.448,-66.448
489.644,307.812,108.760,386.722,221.315,172.926,134.443,38.972,1,84.803,-64.803
237.693,170.624,45.162,197.555,197.842,66.269,48.497,42.961,0,99.635,-79.635
264.105,357.647,53.408,236.902,422.634,88.407,70.451,37.165,0,98.866,-78.866
99.060,128.682,45.365,106.222,189.977,76.592,61.712,36.320,1,77.730,-57.730
358.661,254.442,131.374,445.196,356.059,187.279,133.470,44.547,0,102.826,-82.826
407.576,146.857,47.998,453.858,164.710,69.026,49.606,44.056,0,104.164,-84.164
288.268,467.529,41.334,251.126,439.382,62.293,46.603,41.571,0,107.473,-87.473
68.255,353.547,129.429,196.400,267.195,201.568,154.525,39.949,1,86.134,-66.134
102.605,82.849,68.391,30.957,117.526,104.943,79.598,40.669,0,96.093,-76.093
458.663,347.807,96.292,420.638,445.674,142.464,104.994,42.525,1,83.120,-63.120
300.203,82.999,123.242,290.392,249.935,207.732,167.225,36.390,0,106.973,-86.973
40.155,118.620,60.858,50.495,52.643,90.353,66.783,42.343,0,90.581,-70.581
5.879,205.531,42.712,23.373,165.720,60.953,43.485,44.486,1,75.746,-55.746
352.626,281.852,129.551,228.554,322.888,184.014,130.682,44.751,0,105.448,-85.448
