uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
51.569,485.184,48.431,85.046,172.284,318.391,314.686,8.749,0,98.215,-78.215
111.418,276.312,47.420,343.111,479.707,311.930,308.304,8.744,0,113.091,-93.091
359.655,61.583,45.115,292.852,271.467,224.831,220.258,11.576,0,111.874,-91.874
355.096,238.479,46.722,130.721,209.151,231.057,226.284,11.666,0,108.292,-88.292
301.041,153.975,42.205,20.990,262.329,303.233,300.282,8.001,0,118.293,-98.293
184.425,36.773,60.838,142.613,321.740,294.373,288.018,11.927,0,107.316,-87.316
231.015,477.527,51.113,292.881,161.989,325.582,321.545,9.032,0,114.142,-94.142
38.808,296.524,58.180,105.389,61.311,251.282,244.454,13.387,0,112.058,-92.058
142.793,435.950,42.563,314.203,478.160,181.590,176.531,13.556,0,109.936,-89.936
348.593,499.283,41.276,228.645,349.963,195.928,191.531,12.161,0,101.452,-81.452
182.723,71.300,43.911,416.399,290.837,323.618,320.625,7.798,0,122.811,-102.811
344.454,336.977,81.387,42.473,382.258,316.017,305.357,14.924,0,112.325,-92.325
152.738,447.162,48.682,59.469,147.219,317.860,314.110,8.810,0,115.977,-95.977
414.006,184.463,51.311,380.677,404.454,228.341,222.501,12.986,0,113.476,-93.476
232.236,21.826,43.745,459.647,22.837,231.583,227.414,10.888,0,102.468,-82.468
198.057,146.812,61.353,22.067,424.242,334.221,328.541,10.578,0,105.975,-85.975
93.093,136.563,58.675,56.868,484.313,354.522,349.633,9.527,0,114.673,-94.673
227.137,151.338,50.782,9.133,268.166,252.494,247.335,11.603,0,107.206,-87.206
90.409,119.806,48.717,236.426,426.238,342.921,339.443,8.167,0,108.419,-88.419
140.186,245.150,65.733,260.730,21.246,262.649,254.291,14.494,0,106.631,-86.631
101.626,75.248,43.498,168.396,361.730,297.359,294.160,8.412,0,112.790,-92.790
393.711,118.492,40.062,362.748,367.724,254.323,251.148,9.063,0,107.434,-87.434
242.682,395.443,87.961,69.686,96.894,356.084,345.049,14.301,0,99.771,-79.771
204.898,38.314,44.397,56.785,149.500,190.449,185.201,13.481,0,104.712,-84.712
405.216,151.690,74.299,218.849,432.600,345.200,337.109,12.429,0,112.827,-92.827
229.378,147.269,53.347,60.802,423.568,328.031,323.664,9.360,0,108.544,-88.544
333.647,276.696,41.250,411.881,94.566,202.469,198.222,11.755,0,114.449,-94.449
411.960,377.305,66.102,324.240,143.422,258.390,249.791,14.822,0,100.250,-80.250
394.347,136.313,43.332,259.327,265.110,191.564,186.599,13.073,0,101.643,-81.643
147.563,427.858,57.570,333.534,284.512,241.759,234.805,13.776,0,116.950,-96.950
498.577,60.900,58.750,487.477,389.951,334.438,329.237,10.117,0,111.030,-91.030
276.757,256.083,55.830,474.515,373.375,236.606,229.925,13.648,0,110.958,-90.958
166.076,46.824,84.326,378.003,303.159,343.120,332.597,14.227,0,113.446,-93.446
85.689,275.618,61.534,154.669,56.493,237.824,229.726,14.995,0,111.969,-91.969
330.597,348.445,41.750,203.781,106.804,276.072,272.897,8.698,0,111.945,-91.945
325.387,417.657,77.321,435.977,94.389,350.302,341.662,12.752,0,105.008,-85.008
72.479,291.302,50.560,337.338,222.964,278.166,273.533,10.472,0,121.610,-101.610
229.661,336.153,46.739,392.180,414.282,186.283,180.324,14.531,0,104.575,-84.575
20.136,112.065,65.666,86.011,361.056,265.797,257.558,14.303,0,110.110,-90.110
334.538,234.499,40.330,151.958,418.639,262.430,259.312,8.840,0,114.626,-94.626
124.990,496.022,63.879,312.537,320.443,264.731,256.909,13.963,0,115.804,-95.804
90.204,393.250,75.041,372.849,236.710,331.699,323.099,13.075,0,113.588,-93.588
51.602,221.685,50.773,271.140,164.276,232.531,226.920,12.612,0,101.219,-81.219
243.955,193.415,64.068,458.182,36.388,273.231,265.614,13.561,0,103.730,-83.730
215.777,184.798,63.060,490.374,272.864,295.187,288.373,12.335,0,116.451,-96.451
434.883,436.746,58.094,459.306,179.216,265.129,258.686,12.657,1,88.515,-68.515
179.017,359.398,52.479,492.844,284.231,326.942,322.703,9.237,0,114.694,-94.694
96.847,17.494,49.901,271.920,274.694,315.107,311.130,9.112,0,118.776,-98.776
422.445,59.012,57.572,221.384,221.987,265.144,258.818,12.541,0,115.976,-95.976
244.456,446.582,65.606,388.639,248.483,253.645,245.013,14.990,0,105.467,-85.467
441.869,137.102,63.272,201.316,258.472,276.767,269.438,13.215,0,109.548,-89.548
71.617,135.542,42.856,39.856,424.283,293.627,290.482,8.393,0,123.678,-103.678
189.508,216.360,47.199,279.181,21.440,219.689,214.558,12.407,1,86.882,-66.882
334.099,267.895,63.329,137.583,68.612,286.954,279.878,12.750,0,107.267,-87.267
420.516,371.400,59.984,167.458,360.209,260.310,253.305,13.323,0,101.562,-81.562
283.973,272.579,40.055,58.497,319.394,233.742,230.285,9.867,0,119.458,-99.458
326.106,167.805,54.128,495.089,436.911,322.340,317.763,9.667,0,108.595,-88.595
8.558,58.728,50.195,354.129,23.952,350.925,347.316,8.224,0,118.179,-98.179
347.868,272.250,49.594,70.877,419.546,317.615,313.719,8.983,0,100.569,-80.569
92.742,89.162,66.446,284.527,324.510,310.781,303.595,12.345,0,105.206,-85.206
438.831,166.495,64.341,244.024,342.088,270.041,262.264,13.784,0,110.169,-90.169
78.832,96.970,51.514,321.411,23.456,258.655,253.474,11.488,0,109.002,-89.002
200.561,349.308,42.610,39.870,278.896,180.541,175.441,13.651,0,108.694,-88.694
357.854,386.246,44.425,149.671,317.318,223.752,219.298,11.452,0,111.798,-91.798
220.353,262.861,40.468,446.668,417.195,276.903,273.930,8.404,0,111.655,-91.655
308.606,202.165,44.687,75.156,184.243,238.363,234.137,10.805,0,98.378,-78.378
96.977,328.138,47.274,345.188,192.888,286.595,282.669,9.494,0,116.801,-96.801
183.976,315.461,54.291,287.471,50.404,289.680,284.547,10.802,0,115.411,-95.411
336.276,228.017,41.586,88.007,109.610,278.185,275.059,8.597,0,109.371,-89.371
490.688,71.168,40.725,248.639,83.262,245.749,242.351,9.539,0,108.957,-88.957
180.576,160.992,66.647,112.008,423.821,279.682,271.625,13.786,0,95.929,-75.929
454.939,30.008,42.082,140.135,26.614,317.622,314.822,7.614,0,111.798,-91.798
370.457,395.677,40.421,321.434,77.326,324.630,322.104,7.153,0,115.643,-95.643
174.340,169.400,56.948,16.382,316.449,223.198,215.811,14.782,0,103.421,-83.421
272.500,359.535,66.126,12.751,315.599,271.610,263.438,14.091,0,109.903,-89.903
156.096,332.142,60.629,498.378,399.887,354.149,348.921,9.857,0,107.273,-87.273
80.221,366.636,78.247,50.160,40.281,336.948,327.737,13.428,0,118.736,-98.736
196.219,147.867,52.752,16.835,358.286,281.491,276.504,10.801,0,121.789,-101.789
220.421,69.872,43.514,6.690,4.710,227.641,223.443,11.020,0,105.434,-85.434
143.863,341.385,42.384,325.679,63.891,334.449,331.753,7.281,0,107.281,-87.281
434.595,87.047,63.755,314.479,343.378,290.170,283.079,12.692,0,103.910,-83.910
13.473,493.821,68.767,118.876,251.781,272.804,263.995,14.600,0,117.575,-97.575
