bin_min_deg,bin_max_deg,center_deg,count,p_los_empirical,p_los_fit
0.00,5.00,2.50,0,,
5.00,10.00,7.50,1784,0.020740,0.079018
10.00,15.00,12.50,3565,0.053857,0.097892
15.00,20.00,17.50,2947,0.095351,0.120685
20.00,25.00,22.50,3136,0.142538,0.147914
25.00,30.00,27.50,2708,0.198301,0.180029
30.00,35.00,32.50,2706,0.249076,0.217338
35.00,40.00,37.50,2481,0.297864,0.259927
40.00,45.00,42.50,2508,0.335327,0.307583
45.00,50.00,47.50,1615,0.400619,0.359730
50.00,55.00,52.50,1613,0.422815,0.415413
55.00,60.00,57.50,1642,0.456151,0.473343
60.00,65.00,62.50,1548,0.518088,0.532000
65.00,70.00,67.50,1584,0.540404,0.589786
70.00,75.00,72.50,1512,0.591931,0.645195
75.00,80.00,77.50,3,0.333333,0.696965
80.00,85.00,82.50,0,,
85.00,90.00,87.50,0,,
