uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
143.341,146.468,102.648,215.188,59.449,152.547,112.846,42.291,1,83.714,-63.714
346.155,217.446,68.947,288.793,285.247,112.432,88.810,37.823,0,104.319,-84.319
399.798,254.773,80.023,310.748,254.505,119.724,89.051,41.943,1,81.610,-61.610
200.416,60.539,107.012,124.086,147.721,157.729,115.875,42.723,1,84.004,-64.004
73.732,372.280,61.904,6.387,417.538,102.057,81.140,37.341,0,101.295,-81.295
114.048,277.692,54.511,100.146,345.338,87.982,69.060,38.285,0,96.033,-76.033
480.381,149.379,131.641,338.766,99.946,199.569,149.995,41.271,1,86.048,-66.048
177.728,182.584,40.280,191.195,137.448,61.976,47.102,40.536,0,92.298,-72.298
208.259,101.466,120.112,291.621,244.712,204.684,165.737,35.931,0,99.572,-79.572
41.972,349.714,40.120,68.671,395.996,66.817,53.432,36.902,0,104.100,-84.100
272.611,208.452,137.597,394.729,285.568,199.481,144.429,43.612,1,86.044,-66.044
492.751,314.209,139.608,487.746,479.492,216.412,165.358,40.174,0,115.112,-95.112
289.885,462.839,40.037,324.569,483.031,56.689,40.133,44.932,1,75.116,-55.116
98.964,351.706,117.335,156.573,494.231,193.391,153.728,37.353,0,108.839,-88.839
321.164,90.033,126.832,177.535,0.036,211.695,169.495,36.807,0,116.390,-96.390
208.651,101.064,121.300,88.105,225.133,211.278,172.988,35.038,0,104.563,-84.563
132.176,140.645,85.729,31.754,105.182,136.717,106.500,38.833,1,82.762,-62.762
194.101,175.306,51.219,131.422,159.836,82.409,64.559,38.427,1,78.365,-58.365
408.674,149.323,44.469,359.345,156.306,66.781,49.821,41.752,0,97.592,-77.592
285.972,134.074,65.449,308.204,217.761,108.542,86.590,37.084,0,98.963,-78.963
433.428,124.835,91.220,395.030,21.297,143.232,110.428,39.559,0,105.775,-85.775
152.744,270.867,113.028,40.855,318.955,166.153,121.785,42.864,0,102.206,-82.206
347.507,13.481,49.433,292.659,24.545,74.662,55.953,41.460,1,77.508,-57.508
153.185,92.195,95.382,281.329,65.807,161.910,130.832,36.094,1,84.231,-64.231
168.780,358.772,45.869,194.489,410.674,73.883,57.920,38.377,0,99.378,-79.378
246.372,444.850,68.632,195.040,386.693,103.574,77.570,41.501,0,104.994,-84.994
167.314,80.628,108.100,279.894,75.954,156.146,112.676,43.813,1,83.917,-63.917
240.854,204.987,125.358,181.165,68.382,194.777,149.076,40.061,1,85.837,-65.837
205.590,172.916,79.341,122.116,234.342,130.522,103.639,37.436,1,82.360,-62.360
334.370,118.856,78.368,257.109,137.322,111.588,79.438,44.612,0,103.240,-83.240
206.138,318.716,101.521,208.446,432.349,152.395,113.656,41.772,0,101.927,-81.927
286.040,39.152,87.290,200.044,86.981,131.538,98.401,41.576,1,82.427,-62.427
109.048,49.145,46.377,130.362,106.809,77.009,61.478,37.030,0,92.574,-72.574
364.255,331.949,119.725,462.265,206.411,199.248,159.267,36.933,1,86.034,-66.034
216.814,137.909,118.459,76.090,90.157,190.042,148.605,38.560,1,85.623,-65.623
85.566,364.316,127.728,57.277,215.805,197.915,151.181,40.193,0,100.915,-80.915
322.688,118.636,66.834,370.311,180.370,102.693,77.968,40.603,1,80.277,-60.277
129.584,157.732,65.510,50.077,131.892,106.210,83.600,38.082,1,80.569,-60.569
299.967,273.917,71.920,401.979,277.523,124.867,102.075,35.168,1,81.975,-61.975
107.165,427.811,121.614,131.644,308.164,172.350,122.125,44.880,0,100.953,-80.953
42.971,26.035,52.104,91.738,66.376,81.979,63.290,39.463,1,78.320,-58.320
42.183,133.457,108.959,97.211,254.967,172.235,133.390,39.244,1,84.768,-64.768
151.674,460.421,64.613,220.288,481.370,96.549,71.741,42.008,1,79.741,-59.741
343.645,47.138,88.364,242.104,115.254,150.859,122.271,35.855,0,104.584,-84.584
240.589,205.852,85.752,240.903,311.258,135.882,105.406,39.130,1,82.709,-62.709
283.629,93.913,46.728,240.754,69.243,68.047,49.466,43.370,1,76.702,-56.702
154.881,49.502,111.206,119.208,200.399,190.812,155.056,35.648,1,85.658,-65.658
158.366,300.363,104.318,300.391,337.425,180.075,146.781,35.402,0,106.563,-86.563
195.741,312.316,87.924,214.147,400.592,125.945,90.174,44.276,1,82.050,-62.050
488.748,317.640,71.875,417.963,359.340,109.157,82.154,41.182,0,98.296,-78.296
179.265,274.031,72.711,192.904,366.060,118.077,93.034,38.010,0,111.226,-91.226
350.149,281.675,45.733,324.701,322.998,66.684,48.531,43.300,0,103.317,-83.317
446.203,342.424,130.687,499.969,163.813,227.755,186.529,35.016,1,87.195,-67.195
263.260,12.208,59.517,340.816,26.805,98.845,78.918,37.023,1,79.945,-59.945
310.951,259.456,123.180,183.162,158.404,204.242,162.916,37.093,0,112.039,-92.039
215.395,244.282,70.074,148.682,185.086,113.425,89.190,38.156,1,81.140,-61.140
167.894,167.297,135.658,50.461,254.537,199.510,146.291,42.840,1,86.045,-66.045
494.779,344.440,64.700,438.049,293.169,100.166,76.466,40.236,0,89.211,-69.211
350.252,141.920,79.065,422.720,190.973,117.936,87.508,42.098,0,108.495,-88.495
178.256,287.894,46.183,175.540,226.282,77.048,61.672,36.827,1,77.781,-57.781
491.744,448.593,60.389,427.615,476.545,92.416,69.956,40.802,0,97.655,-77.655
179.555,204.728,131.606,217.135,39.667,214.424,169.285,37.862,1,86.671,-66.671
187.811,81.110,92.612,290.519,70.766,138.683,103.228,41.897,0,106.148,-86.148
336.825,48.792,68.682,389.012,108.160,104.715,79.045,40.987,0,107.701,-87.701
189.259,371.427,51.078,202.381,431.209,79.718,61.205,39.847,1,78.077,-58.077
363.955,490.980,75.720,462.620,449.337,131.158,107.093,35.262,0,98.802,-78.802
179.532,272.865,125.016,306.328,292.754,179.170,128.347,44.247,0,114.565,-94.565
19.134,7.988,107.080,155.517,8.370,173.397,136.383,38.137,1,84.827,-64.827
363.309,146.639,44.018,385.163,105.619,64.014,46.478,43.443,0,94.023,-74.023
483.471,119.794,79.764,467.521,229.728,136.755,111.084,35.680,0,103.711,-83.711
103.761,119.011,52.309,159.344,161.519,87.365,69.974,36.780,0,103.397,-83.397
430.873,131.624,69.476,407.055,199.558,100.046,71.988,43.982,1,80.050,-60.050
179.479,97.572,50.821,129.923,112.267,72.488,51.690,44.514,0,99.139,-79.139
109.231,369.328,76.986,124.180,473.134,130.100,104.877,36.281,0,103.266,-83.266
432.170,30.709,41.395,480.483,47.988,65.926,51.310,38.895,0,89.996,-69.996
219.013,446.303,84.754,257.010,356.911,128.910,97.132,41.107,0,98.818,-78.818
46.985,1.411,64.840,99.661,72.670,109.804,88.615,36.193,0,104.780,-84.780
127.923,80.698,107.141,42.104,16.521,151.535,107.162,44.994,0,107.964,-87.964
349.137,436.333,86.100,439.383,417.685,126.116,92.152,43.055,0,106.210,-86.210
321.815,326.099,52.686,293.316,373.140,76.163,55.000,43.769,1,77.681,-57.681
327.537,348.179,104.652,369.025,249.523,149.687,107.025,44.358,0,98.634,-78.634
51.249,95.978,123.322,201.703,124.544,196.623,153.142,38.844,1,85.919,-65.919
212.428,397.279,85.451,267.119,322.163,126.236,92.917,42.603,1,82.070,-62.070
422.651,143.019,82.249,431.157,232.772,122.036,90.156,42.374,1,81.776,-61.776
92.891,200.016,135.198,124.720,21.603,226.104,181.230,36.723,0,103.387,-83.387
149.438,322.033,122.271,166.341,165.961,198.983,156.985,37.914,1,86.022,-66.022
208.384,302.271,91.943,304.751,326.974,135.463,99.483,42.744,0,103.902,-83.902
427.518,187.955,65.325,465.333,259.076,103.709,80.549,39.042,0,104.914,-84.914
160.871,323.834,100.230,39.657,343.127,158.465,122.740,39.235,1,84.045,-64.045
8.560,64.694,69.135,63.204,140.587,116.298,93.518,36.474,0,104.263,-84.263
298.286,302.042,40.439,254.843,282.917,62.357,47.467,40.429,1,75.944,-55.944
3.515,158.160,54.780,30.632,210.419,80.419,58.876,42.936,0,99.310,-79.310
165.818,377.790,100.103,184.450,261.109,154.862,118.159,40.271,1,83.845,-63.845
317.477,436.968,50.366,351.140,383.855,80.567,62.883,38.693,0,101.576,-81.576
237.811,439.311,114.196,371.602,417.796,177.211,135.510,40.121,0,99.811,-79.811
136.349,290.904,113.112,9.031,346.310,179.092,138.851,39.167,0,96.213,-76.213
359.927,456.063,136.624,476.310,373.839,197.413,142.498,43.794,0,115.761,-95.761
67.877,94.360,47.489,11.534,62.109,80.436,64.920,36.185,1,78.155,-58.155
277.868,354.615,58.123,327.172,389.678,83.897,60.501,43.851,1,78.521,-58.521
115.079,98.559,41.348,79.750,127.799,61.747,45.859,42.039,1,75.858,-55.858
122.024,427.954,111.166,21.675,349.419,169.103,127.428,41.101,1,84.609,-64.609
55.329,409.227,63.057,55.499,326.879,103.718,82.349,37.443,0,101.446,-81.446
458.433,294.093,120.758,429.519,161.604,181.582,135.608,41.685,1,85.227,-65.227
357.606,66.879,80.443,269.019,67.267,119.661,88.588,42.241,1,81.605,-61.605
239.073,169.681,125.978,297.481,298.545,189.441,141.483,41.682,0,101.398,-81.398
248.729,228.091,53.850,194.149,253.393,80.740,60.159,41.832,0,98.028,-78.028
374.962,7.291,71.046,330.227,94.118,120.779,97.673,36.032,0,102.488,-82.488
406.783,139.093,78.446,330.410,103.605,115.091,84.215,42.969,0,111.857,-91.857
379.314,125.297,137.263,227.343,239.346,234.400,190.006,35.845,0,98.368,-78.368
289.100,333.677,58.828,296.894,395.094,85.403,61.910,43.538,0,99.798,-79.798
363.874,169.929,117.987,371.761,47.015,170.561,123.167,43.770,0,105.627,-85.627
320.257,379.641,70.998,265.251,298.896,120.773,97.701,36.005,0,101.483,-81.483
70.275,11.843,47.336,31.391,49.944,72.142,54.440,41.007,0,105.424,-85.424
149.144,398.846,94.598,245.365,483.750,159.424,128.324,36.397,0,107.272,-87.272
118.061,465.974,61.850,194.701,472.214,98.682,76.894,38.811,1,79.931,-59.931
171.485,73.331,79.006,251.220,112.440,118.866,88.809,41.657,0,111.801,-91.801
78.635,166.608,109.791,0.268,78.660,161.029,117.798,42.985,0,103.992,-83.992
435.995,383.528,130.395,322.703,291.279,195.826,146.099,41.749,0,100.053,-80.053
272.793,100.831,66.543,310.720,39.565,98.081,72.055,42.723,0,97.098,-77.098
95.194,444.541,64.338,144.395,383.871,101.198,78.113,39.477,0,105.844,-85.844
20.393,100.840,47.592,59.220,152.135,80.023,64.333,36.493,0,97.122,-77.122
