uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
126.102,58.576,45.273,462.327,46.797,339.464,336.431,7.664,0,110.593,-90.593
136.488,475.313,47.828,321.961,324.346,243.883,239.147,11.310,0,103.751,-83.751
258.453,487.312,53.927,204.784,198.085,299.066,294.164,10.388,0,111.822,-91.822
258.848,164.441,42.755,168.065,453.595,306.071,303.070,8.030,0,117.573,-97.573
59.723,83.958,40.527,131.167,271.608,204.839,200.790,11.411,0,116.005,-96.005
222.242,344.567,50.529,452.557,133.756,316.290,312.228,9.193,0,113.673,-93.673
152.924,377.541,41.319,392.358,422.519,247.101,243.622,9.626,0,108.062,-88.062
414.426,148.284,50.060,222.858,87.821,207.027,200.884,13.993,0,104.622,-84.622
412.549,107.577,42.213,467.239,278.382,184.248,179.347,13.245,0,102.472,-82.472
248.763,331.839,77.893,51.917,91.420,320.339,310.725,14.073,0,103.678,-83.678
332.201,22.275,41.729,399.245,248.218,239.346,235.681,10.041,0,97.820,-77.820
434.538,266.763,67.019,118.721,135.235,348.613,342.111,11.084,0,99.707,-79.707
215.087,286.356,66.337,77.811,23.159,304.168,296.846,12.597,0,115.842,-95.842
6.797,399.908,70.714,113.209,117.096,310.333,302.169,13.171,0,109.371,-89.371
144.088,473.631,64.749,119.149,164.496,316.827,310.140,11.793,0,115.940,-95.940
372.098,251.120,65.594,38.085,241.800,340.520,334.143,11.106,0,101.939,-81.939
239.601,27.137,52.779,264.589,308.763,287.617,282.733,10.574,0,110.650,-90.650
365.201,134.711,44.557,310.751,477.597,350.030,347.183,7.313,0,110.672,-90.672
100.609,209.674,40.693,431.432,217.106,333.399,330.906,7.011,0,114.440,-94.440
393.218,292.487,48.986,266.558,144.982,200.499,194.423,14.142,0,104.470,-84.470
486.817,87.343,40.483,423.242,384.784,306.841,304.159,7.581,0,115.347,-95.347
149.343,161.993,68.125,490.511,208.728,351.028,344.354,11.191,0,116.833,-96.833
169.580,387.003,53.019,366.886,299.960,222.075,215.653,13.812,0,114.940,-94.940
342.964,129.115,42.345,73.137,148.681,273.829,270.535,8.896,0,96.045,-76.045
218.452,252.391,83.998,443.369,496.391,342.315,331.849,14.205,0,103.332,-83.332
129.724,273.740,66.796,296.389,60.516,278.753,270.632,13.864,0,117.424,-97.424
