uav_x,uav_y,uav_z,user_x,user_y,distance_m,horizontal_m,elevation_deg,los,path_loss_db,rx_dbm
0.000,0.000,100.000,250.000,250.000,367.423,353.553,15.793,0,105.719,-85.719
4.202,4.202,100.000,250.000,250.000,361.709,347.611,16.049,0,100.816,-80.816
8.403,8.403,100.000,250.000,250.000,356.003,341.669,16.314,0,111.122,-91.122
12.605,12.605,100.000,250.000,250.000,350.304,335.727,16.587,0,113.435,-93.435
16.807,16.807,100.000,250.000,250.000,344.613,329.785,16.869,0,107.500,-87.500
21.008,21.008,100.000,250.000,250.000,338.931,323.843,17.160,0,112.092,-92.092
25.210,25.210,100.000,250.000,250.000,333.258,317.901,17.462,0,101.564,-81.564
29.412,29.412,100.000,250.000,250.000,327.595,311.959,17.774,0,114.104,-94.104
33.613,33.613,100.000,250.000,250.000,321.941,306.017,18.096,0,113.420,-93.420
37.815,37.815,100.000,250.000,250.000,316.299,300.075,18.431,0,120.953,-100.953
42.017,42.017,100.000,250.000,250.000,310.667,294.133,18.777,0,102.786,-82.786
46.218,46.218,100.000,250.000,250.000,305.047,288.191,19.136,0,109.291,-89.291
50.420,50.420,100.000,250.000,250.000,299.440,282.249,19.509,0,117.426,-97.426
54.622,54.622,100.000,250.000,250.000,293.846,276.306,19.896,0,109.245,-89.245
58.824,58.824,100.000,250.000,250.000,288.265,270.364,20.298,0,113.393,-93.393
63.025,63.025,100.000,250.000,250.000,282.700,264.422,20.716,0,114.505,-94.505
67.227,67.227,100.000,250.000,250.000,277.150,258.480,21.150,0,109.641,-89.641
71.429,71.429,100.000,250.000,250.000,271.616,252.538,21.603,0,103.022,-83.022
75.630,75.630,100.000,250.000,250.000,266.101,246.596,22.074,0,115.064,-95.064
79.832,79.832,100.000,250.000,250.000,260.604,240.654,22.565,0,111.758,-91.758
84.034,84.034,100.000,250.000,250.000,255.127,234.712,23.077,0,103.523,-83.523
88.235,88.235,100.000,250.000,250.000,249.671,228.770,23.611,0,106.412,-86.412
92.437,92.437,100.000,250.000,250.000,244.238,222.828,24.169,0,106.894,-86.894
96.639,96.639,100.000,250.000,250.000,238.829,216.886,24.753,0,104.332,-84.332
100.840,100.840,100.000,250.000,250.000,233.446,210.944,25.364,0,94.262,-74.262
105.042,105.042,100.000,250.000,250.000,228.091,205.002,26.003,0,106.767,-86.767
109.244,109.244,100.000,250.000,250.000,222.766,199.059,26.673,0,117.559,-97.559
113.445,113.445,100.000,250.000,250.000,217.473,193.117,27.376,0,106.697,-86.697
117.647,117.647,100.000,250.000,250.000,212.214,187.175,28.114,0,116.348,-96.348
121.849,121.849,100.000,250.000,250.000,206.992,181.233,28.889,0,106.300,-86.300
126.050,126.050,100.000,250.000,250.000,201.809,175.291,29.704,0,108.469,-88.469
130.252,130.252,100.000,250.000,250.000,196.670,169.349,30.562,0,111.878,-91.878
134.454,134.454,100.000,250.000,250.000,191.577,163.407,31.465,0,105.353,-85.353
138.655,138.655,100.000,250.000,250.000,186.535,157.465,32.418,0,104.411,-84.411
142.857,142.857,100.000,250.000,250.000,181.547,151.523,33.423,0,113.826,-93.826
147.059,147.059,100.000,250.000,250.000,176.618,145.581,34.485,0,94.322,-74.322
151.261,151.261,100.000,250.000,250.000,171.753,139.639,35.608,0,112.119,-92.119
155.462,155.462,100.000,250.000,250.000,166.957,133.697,36.795,0,105.813,-85.813
159.664,159.664,100.000,250.000,250.000,162.238,127.755,38.052,0,98.079,-78.079
163.866,163.866,100.000,250.000,250.000,157.602,121.813,39.384,0,99.253,-79.253
168.067,168.067,100.000,250.000,250.000,153.055,115.870,40.795,0,115.183,-95.183
172.269,172.269,100.000,250.000,250.000,148.608,109.928,42.292,0,107.417,-87.417
176.471,176.471,100.000,250.000,250.000,144.268,103.986,43.880,0,103.522,-83.522
180.672,180.672,100.000,250.000,250.000,140.045,98.044,45.566,0,105.115,-85.115
184.874,184.874,100.000,250.000,250.000,135.951,92.102,47.354,0,99.403,-79.403
189.076,189.076,100.000,250.000,250.000,131.998,86.160,49.252,0,95.412,-75.412
193.277,193.277,100.000,250.000,250.000,128.199,80.218,51.264,0,102.753,-82.753
197.479,197.479,100.000,250.000,250.000,124.567,74.276,53.397,0,109.297,-89.297
201.681,201.681,100.000,250.000,250.000,121.118,68.334,55.654,0,102.648,-82.648
205.882,205.882,100.000,250.000,250.000,117.867,62.392,58.039,0,104.634,-84.634
210.084,210.084,100.000,250.000,250.000,114.833,56.450,60.555,0,103.728,-83.728
214.286,214.286,100.000,250.000,250.000,112.031,50.508,63.203,0,100.285,-80.285
218.487,218.487,100.000,250.000,250.000,109.481,44.566,65.980,0,85.352,-65.352
222.689,222.689,100.000,250.000,250.000,107.200,38.623,68.882,0,102.546,-82.546
226.891,226.891,100.000,250.000,250.000,105.205,32.681,71.902,1,80.487,-60.487
231.092,231.092,100.000,250.000,250.000,103.513,26.739,75.030,1,80.346,-60.346
235.294,235.294,100.000,250.000,250.000,102.140,20.797,78.252,1,80.230,-60.230
239.496,239.496,100.000,250.000,250.000,101.097,14.855,81.550,1,80.141,-60.141
243.697,243.697,100.000,250.000,250.000,100.396,8.913,84.907,1,80.080,-60.080
247.899,247.899,100.000,250.000,250.000,100.044,2.971,88.298,1,80.050,-60.050
252.101,252.101,100.000,250.000,250.000,100.044,2.971,88.298,1,80.050,-60.050
256.303,256.303,100.000,250.000,250.000,100.396,8.913,84.907,1,80.080,-60.080
260.504,260.504,100.000,250.000,250.000,101.097,14.855,81.550,0,103.797,-83.797
264.706,264.706,100.000,250.000,250.000,102.140,20.797,78.252,0,101.165,-81.165
268.908,268.908,100.000,250.000,250.000,103.513,26.739,75.030,0,93.464,-73.464
273.109,273.109,100.000,250.000,250.000,105.205,32.681,71.902,0,93.632,-73.632
277.311,277.311,100.000,250.000,250.000,107.200,38.623,68.882,0,107.842,-87.842
281.513,281.513,100.000,250.000,250.000,109.481,44.566,65.980,0,91.006,-71.006
285.714,285.714,100.000,250.000,250.000,112.031,50.508,63.203,0,102.856,-82.856
289.916,289.916,100.000,250.000,250.000,114.833,56.450,60.555,0,101.536,-81.536
294.118,294.118,100.000,250.000,250.000,117.867,62.392,58.039,0,99.346,-79.346
298.319,298.319,100.000,250.000,250.000,121.118,68.334,55.654,0,99.670,-79.670
302.521,302.521,100.000,250.000,250.000,124.567,74.276,53.397,0,112.873,-92.873
306.723,306.723,100.000,250.000,250.000,128.199,80.218,51.264,0,90.018,-70.018
310.924,310.924,100.000,250.000,250.000,131.998,86.160,49.252,0,108.684,-88.684
315.126,315.126,100.000,250.000,250.000,135.951,92.102,47.354,0,91.572,-71.572
319.328,319.328,100.000,250.000,250.000,140.045,98.044,45.566,0,116.532,-96.532
323.529,323.529,100.000,250.000,250.000,144.268,103.986,43.880,0,107.655,-87.655
327.731,327.731,100.000,250.000,250.000,148.608,109.928,42.292,0,97.035,-77.035
331.933,331.933,100.000,250.000,250.000,153.055,115.870,40.795,0,104.337,-84.337
336.134,336.134,100.000,250.000,250.000,157.602,121.813,39.384,0,105.373,-85.373
340.336,340.336,100.000,250.000,250.000,162.238,127.755,38.052,0,103.385,-83.385
344.538,344.538,100.000,250.000,250.000,166.957,133.697,36.795,0,104.129,-84.129
348.739,348.739,100.000,250.000,250.000,171.753,139.639,35.608,0,101.911,-81.911
352.941,352.941,100.000,250.000,250.000,176.618,145.581,34.485,0,113.964,-93.964
357.143,357.143,100.000,250.000,250.000,181.547,151.523,33.423,0,105.226,-85.226
361.345,361.345,100.000,250.000,250.000,186.535,157.465,32.418,0,118.451,-98.451
365.546,365.546,100.000,250.000,250.000,191.577,163.407,31.465,0,113.653,-93.653
369.748,369.748,100.000,250.000,250.000,196.670,169.349,30.562,0,97.677,-77.677
373.950,373.950,100.000,250.000,250.000,201.809,175.291,29.704,0,103.931,-83.931
378.151,378.151,100.000,250.000,250.000,206.992,181.233,28.889,0,112.889,-92.889
382.353,382.353,100.000,250.000,250.000,212.214,187.175,28.114,0,107.354,-87.354
386.555,386.555,100.000,250.000,250.000,217.473,193.117,27.376,0,111.203,-91.203
390.756,390.756,100.000,250.000,250.000,222.766,199.059,26.673,0,107.630,-87.630
394.958,394.958,100.000,250.000,250.000,228.091,205.002,26.003,0,109.172,-89.172
399.160,399.160,100.000,250.000,250.000,233.446,210.944,25.364,0,115.678,-95.678
403.361,403.361,100.000,250.000,250.000,238.829,216.886,24.753,0,111.354,-91.354
407.563,407.563,100.000,250.000,250.000,244.238,222.828,24.169,0,94.239,-74.239
411.765,411.765,100.000,250.000,250.000,249.671,228.770,23.611,0,104.907,-84.907
415.966,415.966,100.000,250.000,250.000,255.127,234.712,23.077,0,114.993,-94.993
420.168,420.168,100.000,250.000,250.000,260.604,240.654,22.565,0,107.639,-87.639
424.370,424.370,100.000,250.000,250.000,266.101,246.596,22.074,0,115.495,-95.495
428.571,428.571,100.000,250.000,250.000,271.616,252.538,21.603,0,115.214,-95.214
432.773,432.773,100.000,250.000,250.000,277.150,258.480,21.150,0,109.480,-89.480
436.975,436.975,100.000,250.000,250.000,282.700,264.422,20.716,0,103.284,-83.284
441.176,441.176,100.000,250.000,250.000,288.265,270.364,20.298,0,103.082,-83.082
445.378,445.378,100.000,250.000,250.000,293.846,276.306,19.896,0,106.065,-86.065
449.580,449.580,100.000,250.000,250.000,299.440,282.249,19.509,0,111.065,-91.065
453.782,453.782,100.000,250.000,250.000,305.047,288.191,19.136,0,110.204,-90.204
457.983,457.983,100.000,250.000,250.000,310.667,294.133,18.777,0,116.722,-96.722
